stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2026-01-05,159222.XSHE,CN,2025-04-17,易方达国证自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159223.XSHE,CN,2025-07-03,现金流ETF永赢,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159225.XSHE,CN,2025-04-17,现金流ETF基金,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159226.XSHE,CN,2025-05-29,国泰中证A500增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159227.XSHE,CN,2025-05-16,华夏国证航天航空行业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159228.XSHE,CN,2025-06-18,长城中证红利低波100ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159229.XSHE,CN,2025-05-15,广发中证800自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159230.XSHE,CN,2025-05-30,华夏国证通用航空产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159231.XSHE,CN,2025-04-29,华宝国证通用航空产业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159232.XSHE,CN,2025-04-30,南方中证全指自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159233.XSHE,CN,2025-06-04,平安中证全指自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159235.XSHE,CN,2025-04-30,大成中证全指自由现金流ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159236.XSHE,CN,2025-05-16,自由现金流ETF工银,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159237.XSHE,CN,2025-07-07,港股汽车ETF工银,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159238.XSHE,CN,2025-06-09,景顺长城沪深300增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159239.XSHE,CN,2025-05-28,富国恒生港股通汽车主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159240.XSHE,CN,2025-06-17,天弘中证A500增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159241.XSHE,CN,2025-05-29,天弘国证航天航空行业ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159242.XSHE,CN,2025-07-24,大成创业板人工智能ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159243.XSHE,CN,2026-01-05,招商创业板人工智能ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159245.XSHE,CN,2025-06-19,富国国证港股通消费主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159246.XSHE,CN,2025-07-10,富国创业板人工智能ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159248.XSHE,CN,2025-07-24,万家中证人工智能主题ETF,ETF,2999-12-31 00:00:00,XSHE
2026-01-05,159249.XSHE,CN,2025-07-02,A500增强ETF工银,ETF,2999-12-31 00:00:00,XSHE
