stat_date,code,market,listed_date,symbol,type,de_listed_date,exchange
2025-01-02,159638.XSHE,CN,2022-08-12,嘉实中证高端装备细分50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159639.XSHE,CN,2022-07-19,南方中证上海环交所碳中和ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159640.XSHE,CN,2022-07-21,碳中和龙头ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159641.XSHE,CN,2022-07-22,招商中证上海环交所碳中和ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159642.XSHE,CN,2022-07-21,大成中证上海环交所碳中和ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159643.XSHE,CN,2022-08-22,国泰国证疫苗与生物科技ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159645.XSHE,CN,2022-09-26,富国国证疫苗与生物科技ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159647.XSHE,CN,2022-07-28,中药ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159649.XSHE,CN,2022-10-24,华安中债1-5年国开行债券ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159650.XSHE,CN,2022-10-28,博时中债0-3年国开行ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159651.XSHE,CN,2022-11-16,平安中债-0-3年国开行债券ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159652.XSHE,CN,2023-02-08,汇添富中证细分有色金属产业主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159653.XSHE,CN,2023-03-24,国联安ESG300ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159655.XSHE,CN,2022-10-25,华夏标普500ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159656.XSHE,CN,2023-01-16,万家沪深300成长ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159657.XSHE,CN,2023-03-13,生物疫苗ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159658.XSHE,CN,2022-10-12,华安中证数字经济主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159659.XSHE,CN,2023-04-25,招商纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159660.XSHE,CN,2023-04-17,汇添富纳斯达克100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159661.XSHE,CN,2023-12-01,嘉实中证A100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159662.XSHE,CN,2022-12-01,南方国证交通运输行业ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159663.XSHE,CN,2022-10-26,华夏中证机床ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159665.XSHE,CN,2023-01-06,半导体龙头ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159666.XSHE,CN,2023-02-13,华夏中证全指运输ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159667.XSHE,CN,2022-10-26,国泰中证机床ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159669.XSHE,CN,2023-01-11,国泰国证绿色电力ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159670.XSHE,CN,2023-05-09,国联安消费50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159671.XSHE,CN,2023-03-10,稀有金属ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159672.XSHE,CN,2023-04-03,博时主要消费ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159673.XSHE,CN,2023-07-17,鹏华沪深300ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159675.XSHE,CN,2022-12-02,嘉实创业板增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159676.XSHE,CN,2023-04-12,富国创业板增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159677.XSHE,CN,2022-12-05,1000增强ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159678.XSHE,CN,2023-02-27,博时中证500增强ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159679.XSHE,CN,2023-02-22,国泰中证1000增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159680.XSHE,CN,2022-11-30,招商中证1000增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159681.XSHE,CN,2023-01-03,创50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159682.XSHE,CN,2023-01-03,景顺长城创业板50ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159683.XSHE,CN,2023-01-09,嘉实中证内地运输主题ETF,ETF,2025-01-15 00:00:00,XSHE
2025-01-02,159685.XSHE,CN,2023-04-03,天弘中证1000增强策略ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159686.XSHE,CN,2023-07-19,易方达中证A100ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159687.XSHE,CN,2022-12-30,南方基金南方东英富时亚太低碳精选ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159688.XSHE,CN,2023-02-15,华安恒生互联网科技业ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159689.XSHE,CN,2023-03-13,南方中证主要消费ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159690.XSHE,CN,2023-07-06,招商中证有色金属矿业主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159691.XSHE,CN,2023-04-21,港股红利ETF工银,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159692.XSHE,CN,2023-05-23,证券ETF东财,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159695.XSHE,CN,2023-05-10,嘉实国证通信ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159696.XSHE,CN,2023-08-25,易方达纳斯达克100ETF(QDII),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159697.XSHE,CN,2023-05-04,油气ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159698.XSHE,CN,2023-08-18,粮食ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159699.XSHE,CN,2023-08-23,广发恒生消费(QDII-ETF),ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159701.XSHE,CN,2021-12-23,招商中证物联网主题ETF,ETF,2999-12-31 00:00:00,XSHE
2025-01-02,159703.XSHE,CN,2021-06-08,天弘中证新材料主题ETF,ETF,2999-12-31 00:00:00,XSHE
